method,path,boundary,rate_group,user_rpm,handler_hint,source,review
GET,/api/admin/enquiries,session + CSRF for writes,api,300,require_admin;_auth,engagement.py:72,handler ownership review required
PUT,/api/admin/enquiries/{eid},session + CSRF for writes,admin-write,60,require_admin;_auth,engagement.py:89,handler ownership review required
POST,/api/admin/exam-blueprints/approve,session + CSRF for writes,admin-write,60,require_admin;_auth;_session,platform_api.py:393,handler ownership review required
POST,/api/admin/exam-blueprints/availability,session + CSRF for writes,admin-write,60,require_admin;_auth,platform_api.py:358,handler ownership review required
POST,/api/admin/exam-blueprints/preview,session + CSRF for writes,admin-write,60,require_admin;_auth,platform_api.py:363,handler ownership review required
POST,/api/admin/exam-blueprints/replacement,session + CSRF for writes,admin-write,60,require_admin;_auth,platform_api.py:381,handler ownership review required
POST,/api/admin/exams,session + CSRF for writes,admin-write,60,require_admin;_auth,platform_api.py:523,handler ownership review required
DELETE,/api/admin/exams/{exam_id},session + CSRF for writes,admin-write,60,require_admin;_auth;_session,platform_api.py:553,handler ownership review required
PUT,/api/admin/exams/{exam_id},session + CSRF for writes,admin-write,60,require_admin;_auth,platform_api.py:537,handler ownership review required
GET,/api/admin/exams/{exam_id}/access,session + CSRF for writes,api,300,_auth,exam_conduct.py:158,handler ownership review required
POST,/api/admin/exams/{exam_id}/marketing-pdf,session + CSRF for writes,admin-write,60,require_admin;_auth;_session,marketing_pdf.py:109,handler ownership review required
GET,/api/admin/exams/{exam_id}/paper,session + CSRF for writes,api,300,_auth,exam_conduct.py:222,handler ownership review required
POST,/api/admin/exams/{exam_id}/proctor-codes,session + CSRF for writes,admin-write,60,_auth,exam_conduct.py:141,handler ownership review required
POST,/api/admin/exams/{exam_id}/proctor-codes/{code_id}/revoke,session + CSRF for writes,admin-write,60,_auth,exam_conduct.py:150,handler ownership review required
POST,/api/admin/exams/{exam_id}/questions/from-bank,session + CSRF for writes,admin-write,60,_auth,exam_conduct.py:197,handler ownership review required
POST,/api/admin/exams/{exam_id}/registration-links,session + CSRF for writes,admin-write,60,_auth,exam_conduct.py:264,handler ownership review required
POST,/api/admin/exams/{exam_id}/registration-links/{link_id}/revoke,session + CSRF for writes,admin-write,60,_auth,exam_conduct.py:279,handler ownership review required
GET,/api/admin/exams/{exam_id}/registrations,session + CSRF for writes,api,300,_auth;_session,exam_conduct.py:247,handler ownership review required
POST,/api/admin/exams/{exam_id}/registrations,session + CSRF for writes,admin-write,60,_auth,exam_conduct.py:232,handler ownership review required
DELETE,/api/admin/exams/{exam_id}/registrations/{kind}/{registration_id},session + CSRF for writes,admin-write,60,_auth;_session,exam_conduct.py:340,handler ownership review required
POST,/api/admin/exams/{exam_id}/registrations/{registration_id}/attempts/increase,session + CSRF for writes,admin-write,60,_auth;_session,exam_conduct.py:358,handler ownership review required
PUT,/api/admin/exams/{exam_id}/registrations/{registration_id}/status,session + CSRF for writes,admin-write,60,_auth,exam_conduct.py:327,handler ownership review required
GET,/api/admin/exams/{exam_id}/results,session + CSRF for writes,api,300,_auth;_session,exam_conduct.py:382,handler ownership review required
PUT,/api/admin/exams/{exam_id}/retake,session + CSRF for writes,admin-write,60,_auth,exam_conduct.py:186,handler ownership review required
GET,/api/admin/exams/{exam_id}/sessions,session + CSRF for writes,api,300,_auth;_session,exam_conduct.py:375,handler ownership review required
PUT,/api/admin/exams/{exam_id}/state,session + CSRF for writes,admin-write,60,_auth,exam_conduct.py:166,handler ownership review required
GET,/api/admin/operator-allowlist,session + CSRF for writes,api,300,require_admin;_auth,platform_api.py:856,handler ownership review required
POST,/api/admin/operator-allowlist,session + CSRF for writes,admin-write,60,require_admin;_auth,platform_api.py:862,handler ownership review required
DELETE,/api/admin/operator-allowlist/{email},session + CSRF for writes,admin-write,60,require_admin;_auth;_session,platform_api.py:871,handler ownership review required
POST,/api/admin/question-corrections/suggest,session + CSRF for writes,admin-write,60,require_admin;_auth,question_correction.py:39,handler ownership review required
PUT,/api/admin/question-corrections/{qid},session + CSRF for writes,admin-write,60,require_admin;_auth,question_correction.py:60,handler ownership review required
GET,/api/admin/question-metadata/facets,session + CSRF for writes,api,300,require_admin;_auth,platform_api.py:434,handler ownership review required
GET,/api/admin/results,session + CSRF for writes,api,300,require_admin;_auth;_session,platform_api.py:810,handler ownership review required
GET,/api/admin/results/{sid},session + CSRF for writes,api,300,require_admin;_auth;_session,platform_api.py:817,handler ownership review required
GET,/api/admin/users,session + CSRF for writes,api,300,require_admin;_auth,platform_api.py:833,handler ownership review required
PUT,/api/admin/users/{user_id}/role,session + CSRF for writes,admin-write,60,require_admin;_auth;_session,platform_api.py:839,handler ownership review required
